,Rk,Player,Pos,Age,Tm,G,GS,MP,FG
0,1,Quincy Acy,PF,24,NYK,68,22,1287,152
1,2,Jordan Adams,SG,20,MEM,30,0,248,35
2,3,Steven Adams,C,21,OKC,70,67,1771,217
3,4,Jeff Adrien,PF,28,MIN,17,0,215,19
4,5,Arron Afflalo,SG,29,TOT,78,72,2502,375
5,5,Arron Afflalo,SG,29,DEN,53,53,1750,281
6,5,Arron Afflalo,SG,29,POR,25,19,752,94
7,6,Alexis Ajinça,C,26,NOP,68,8,957,181
8,7,Furkan Aldemir,PF,23,PHI,41,9,540,40
9,8,Cole Aldrich,C,26,NYK,61,16,976,144
10,9,LaMarcus Aldridge,PF,29,POR,71,71,2512,659
11,10,Lavoy Allen,C,25,IND,63,0,1070,141
12,11,Tony Allen,SG,33,MEM,63,41,1648,225
13,12,Al-Farouq Aminu,SF,24,DAL,74,3,1366,147
14,13,Lou Amundson,PF,32,TOT,53,35,937,109
15,13,Lou Amundson,PF,32,CLE,12,0,79,4
16,13,Lou Amundson,PF,32,NYK,41,35,858,105
17,14,Chris Andersen,C,36,MIA,60,20,1132,120
18,15,Alan Anderson,SG,32,BRK,74,19,1744,195
19,16,Kyle Anderson,SF,21,SAS,33,8,358,31
20,17,Ryan Anderson,PF,26,NOP,61,5,1675,291
21,18,Giannis Antetokounmpo,SG,20,MIL,81,71,2541,383
22,19,Carmelo Anthony,SF,30,NYK,40,40,1428,358
23,20,Joel Anthony,C,32,DET,49,0,406,36
24,Rk,Player,Pos,Age,Tm,G,GS,MP,FG
25,21,Pero Antić,C,32,ATL,63,3,1037,108
26,22,Trevor Ariza,SF,29,HOU,82,82,2930,366
27,23,Darrell Arthur,PF,26,DEN,58,4,988,155
28,24,Ömer Aşık,C,28,NOP,76,76,1982,213
